reviewer_id,reviewer_skin_tone,reviewer_skin_type,reviewer_eye_color,reviewer_hair_color
6921691467,light,dry,hazel,blonde
40727014792,light,combination,blue,blonde
7186952566,light,combination,brown,brown
2117812169,light,combination,green,brown
12538328524,fair,combination,brown,brown
6763200339,fair,combination,brown,blonde
1588781960,lightMedium,normal,blue,brown
5282936677,lightMedium,normal,brown,brown
12404996204,light,oily,brown,black
1778156716,light,dry,blue,brown
1964986086,fair,combination,blue,blonde
22701963914,fair,dry,green,brown
6628844065,fair,oily,blue,black
10379331247,lightMedium,combination,brown,black
1015458860,light,dry,blue,blonde
8604048022,light,combination,brown,brown
1785902338,light,oily,brown,brown
2230158816,light,combination,blue,blonde
1030820541,mediumTan,dry,brown,black
5090981052,fair,dry,blue,blonde
2864041669,fair,dry,brown,auburn
6468543638,light,combination,brown,black
1300879970,fair,dry,blue,blonde
11078946666,lightMedium,combination,brown,brown
7129103361,fair,normal,brown,auburn
5650835257,lightMedium,dry,brown,blonde
7283389597,lightMedium,combination,brown,brown
2318322580,light,combination,hazel,brown
6380245369,light,combination,brown,brown
7372111964,fair,normal,blue,blonde
797367586,lightMedium,combination,hazel,blonde
845768553,light,combination,brown,brown
9522686140,fair,combination,brown,brown
8774685114,fairLight,dry,green,brown
7873749205,lightMedium,dry,green,brown
6035483202,lightMedium,combination,brown,brown
6002961173,light,combination,brown,blonde
1318745165,light,normal,hazel,brown
1374277086,lightMedium,oily,brown,blonde
6234009467,light,dry,green,brown
6710293319,light,oily,hazel,brown
1484202129,light,combination,blue,blonde
24785972173,fair,dry,green,auburn
5260004813,fair,oily,blue,brown
1673207214,fair,oily,brown,brown
25150210521,fair,combination,brown,black
1015510265,light,combination,brown,brown
12751877303,light,dry,brown,brown
5850661241,light,dry,hazel,brown
5396160933,lightMedium,combination,brown,brown
5120353132,light,combination,hazel,brown
7809132868,lightMedium,dry,brown,brown
1321692544,fair,normal,green,red
6802560172,lightMedium,dry,brown,black
1280273348,light,combination,blue,blonde
1866403513,fair,combination,blue,blonde
5841900858,light,combination,brown,brown
1454405898,light,combination,green,brown
8889359306,fairLight,combination,green,red
2119952972,fair,combination,blue,blonde
23041912154,fairLight,normal,blue,brown
1183941268,lightMedium,normal,blue,brown
1970240941,light,dry,brown,auburn
2338003227,lightMedium,combination,green,black
1915385530,light,combination,hazel,brown
5533418149,light,dry,brown,blonde
5149855471,light,normal,brown,blonde
2046960219,light,dry,brown,black
11782035391,fairLight,oily,Grey,red
9032205552,lightMedium,combination,hazel,brown
6357189220,light,normal,green,brown
